City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Tasiilaq,65.61,-37.64,20.7,96,100,6.64,GL,1605397932
Qaanaaq,77.48,-69.36,7.52,80,93,13.62,GL,1605397932
Ushuaia,-54.8,-68.3,42.8,79,75,9.37,AR,1605397932
Saskylakh,71.92,114.08,3.33,92,89,14.99,RU,1605397933
Norman Wells,65.28,-126.83,-5.8,83,75,2.24,CA,1605397867
Torrijos,39.98,-4.28,55.4,93,75,1.12,ES,1605397803
Pevek,69.7,170.31,-0.51,88,18,9.73,RU,1605397935
San Policarpo,12.18,125.51,82.74,81,22,10.36,PH,1605397936
Busselton,-33.65,115.33,62.01,98,16,13.71,AU,1605397936
Hilo,19.73,-155.09,78.8,65,1,6.93,US,1605397747
Half Moon Bay,37.46,-122.43,61.0,76,1,12.75,US,1605397762
Kapaa,22.08,-159.32,82.4,65,40,12.75,US,1605397964
Portachuelo,-17.35,-63.4,84.2,66,40,11.41,BO,1605397964
Albany,42.6,-73.97,39.99,62,12,8.68,US,1605397965
Ribeira Grande,38.52,-28.7,65.35,88,98,17.02,PT,1605397965
Bethel,41.37,-73.41,42.8,52,1,3.36,US,1605397750
Jamestown,42.1,-79.24,39.99,60,1,3.36,US,1605397966
Moose Factory,51.26,-80.61,30.2,86,1,11.41,CA,1605397966
Yellowknife,62.46,-114.35,6.8,77,90,5.82,CA,1605397968
Cape Town,-33.93,18.42,59.0,82,20,10.29,ZA,1605397968
Acapulco de Juárez,16.86,-99.89,84.2,74,20,6.93,MX,1605397754
San Jerónimo,-11.95,-75.28,54.7,62,80,3.29,PE,1605397969
Hobart,-42.88,147.33,63.0,51,75,11.41,AU,1605397790
Tuapse,44.11,39.07,51.26,67,61,0.96,RU,1605397970
Chui,-33.7,-53.46,67.41,88,99,8.05,UY,1605397977
Raudeberg,61.99,5.14,51.01,76,100,19.46,NO,1605397977
Lucapa,-8.42,20.74,63.03,99,88,1.48,AO,1605397943
Faanui,-16.48,-151.75,80.06,74,100,7.16,PF,1605397978
Taraz,42.9,71.37,35.6,64,90,15.66,KZ,1605397979
Rikitea,-23.12,-134.97,76.05,83,86,15.39,PF,1605397980
Fundación,10.52,-74.19,75.33,86,100,4.07,CO,1605397980
Atuona,-9.8,-139.03,77.76,75,33,14.34,PF,1605397980
Dhārchula,29.85,80.53,52.21,41,100,4.03,IN,1605397980
Morant Bay,17.88,-76.41,84.2,66,20,20.8,JM,1605397981
Yerbogachën,61.28,108.01,2.68,93,85,7.0,RU,1605397984
Korhogo,9.45,-5.63,72.34,37,2,1.16,CI,1605397984
Mahébourg,-20.41,57.7,73.4,88,75,10.29,MU,1605397984
Mataura,-46.19,168.86,69.01,72,100,5.99,NZ,1605397985
Babynino,54.39,35.73,28.4,92,100,4.47,RU,1605397986
Buala,-8.14,159.59,86.72,67,44,7.94,SB,1605397987
Beringovskiy,63.05,179.32,16.12,86,0,3.51,RU,1605397987
Padang,-0.95,100.35,79.07,77,98,4.43,ID,1605397988
Ilulissat,69.22,-51.1,3.2,54,16,24.16,GL,1605397733
Vaini,-21.2,-175.2,82.4,78,40,9.17,TO,1605398000
Khanbari,27.37,87.2,59.31,48,0,2.89,NP,1605397775
Hombourg-Haut,49.12,6.77,53.01,94,75,10.25,FR,1605398000
Sobolevo,54.43,31.9,31.75,98,100,8.08,RU,1605398000
Bambous Virieux,-20.34,57.76,73.4,88,75,10.29,MU,1605398001
Auki,-8.77,160.7,87.98,62,14,3.56,SB,1605398001
Puerto Ayora,-0.74,-90.35,70.0,82,27,7.0,EC,1605398001
Pindiga,9.98,10.93,77.68,24,8,13.71,NG,1605398002
Upernavik,72.79,-56.15,11.91,84,100,12.82,GL,1605398002
Hermanus,-34.42,19.23,55.99,87,88,4.07,ZA,1605398003
Mikumi,-7.4,36.98,71.78,88,100,2.86,TZ,1605398003
Warrington,53.39,-2.58,53.6,76,75,16.11,GB,1605397768
Punta Arenas,-53.15,-70.92,46.4,65,75,31.09,CL,1605398004
New Norfolk,-42.78,147.06,63.0,40,48,3.58,AU,1605398004
Presidencia Roque Sáenz Peña,-26.79,-60.44,68.0,94,90,13.87,AR,1605397719
Bosaso,11.28,49.18,73.27,77,14,2.01,SO,1605398005
Gisborne,-38.65,178.0,71.01,45,0,4.0,NZ,1605398005
Sitka,57.05,-135.33,37.4,86,90,6.93,US,1605398005
Bengkulu,-3.8,102.27,78.08,82,89,3.83,ID,1605398006
Tsogni,-2.79,10.1,76.28,94,100,4.83,GA,1605398006
Kokuy,52.2,117.55,14.88,89,38,2.06,RU,1605398006
Tiksi,71.69,128.87,-2.47,91,59,7.25,RU,1605398007
College,64.86,-147.8,15.8,85,75,2.28,US,1605398007
Port Elizabeth,-33.92,25.57,62.6,82,0,12.75,ZA,1605398008
Necochea,-38.55,-58.74,57.0,85,96,13.51,AR,1605397924
Laguna,38.42,-121.42,62.01,51,1,2.01,US,1605398030
Port Lincoln,-34.73,135.87,77.5,38,27,5.77,AU,1605398030
Ekibastuz,51.67,75.37,25.79,88,100,9.71,KZ,1605398030
Talagante,-33.67,-70.93,68.0,42,0,14.99,CL,1605398031
Dikson,73.51,80.55,25.43,98,95,8.28,RU,1605398031
Ixtapa,20.7,-105.2,80.6,65,40,11.41,MX,1605398031
Neiafu,-18.65,-173.98,82.4,69,20,11.41,TO,1605398032
Santa Maria,-29.68,-53.81,82.4,48,0,3.36,BR,1605398011
Constitución,-35.33,-72.42,53.82,74,0,15.75,CL,1605398033
Karpathos,35.51,27.21,64.4,55,0,24.16,GR,1605398033
Cabo San Lucas,22.89,-109.91,77.0,50,75,9.17,MX,1605397812
Katherine,-14.47,132.27,78.8,78,98,9.17,AU,1605398034
Yemel'yanovo,56.17,92.68,3.2,84,0,0.6,RU,1605398034
Stromness,58.97,-3.3,51.8,93,100,14.99,GB,1605398034
Mar del Plata,-38.0,-57.56,62.6,82,75,6.93,AR,1605398040
Butaritari,3.07,172.79,81.93,67,98,4.99,KI,1605398046
Ulagan,50.63,87.96,19.36,85,100,1.43,RU,1605398053
Conceição do Araguaia,-8.26,-49.26,81.63,59,64,1.77,BR,1605398064
Ancud,-41.87,-73.82,53.01,62,90,9.17,CL,1605398070
Tuktoyaktuk,69.45,-133.04,14.0,85,90,27.51,CA,1605398070
George Town,5.41,100.34,78.8,94,20,3.36,MY,1605398071
Cidreira,-30.18,-50.21,71.62,84,0,15.61,BR,1605397939
Mapiripán,2.89,-72.13,78.44,81,52,2.91,CO,1605398071
Sisimiut,66.94,-53.67,10.94,87,4,17.74,GL,1605398071
Avarua,-21.21,-159.78,82.4,74,46,16.11,CK,1605398071
